poet,gender,
May Swenson,F,
Jennifer Tonge,F,
Angela Jackson,F,
Scott Helmes,M,
Patrick Dubost,M,
Hans Magnus Enzensberger,M,
Eleanor Ross Taylor,F,
Lewis Warsh,M,
Jessica Laser,F,
Donald Revell,M,
Susan Meyers,F,
Mary Jones,F,
Terry Wolverton,M,
Thomas McGrath,M,
Jane Whitledge,F,
Henry Newbolt,M,
Jin Eun-Young,,
Christian Milne,M,
Tomás Q. Morín,M,
Alice B. Fogel,F,
Peter Spagnuolo,M,
John Masefield,M,
Jennifer Militello,F,
Gabriel Welsch,M,
Eleanor Hooker,F,
Ben Estes,M,
Alan Feldman,M,
Christina Pugh,F,
Harry Mathews,M,
Lisa Barnett,F,
Geoffrey Hilsabeck,M,
Bill Holm,M,
Saundra Rose Maley,,
Amy E. Sklansky,F,
Kevin Killian,M,
Maya Angelou,F,
Amy Beeder,F,
Edith Södergran,F,
Bill Zavatsky,M,
John Ciardi,M,
Michael Wasson,M,
Dorothea Tanning,F,
Jennifer O'Grady,F,
Gregory Pardlo,M,
Ben Belitt,M,
Michelle O’Sullivan,F,
Umberto Fiori,M,
Sandra Lim,F,
Lawrence Raab,,
Lynn Xu,F,
John Taggart,M,
Walter McDonald,M,
Joanna Fuhrman,F,
Gayle Danley,M,
Matthew Prior,M,
Cynthia Ventresca,F,
Jorge Evans,M,
Ted Berrigan,M,
Katie Cappello,F,
mIEKAL aND,,
LeAnne Howe,,
Cleopatra Mathis,F,
Carol V. Davis,F,
Marilyn Hacker,F,
Carl Marcum,M,
Czeslaw Milosz,,
Adam Kirsch,M,
Mina Loy,F,
Tim Nolan,M,
Amanda Strand,F,
Katherine Philips,F,
George Albon,M,
Diane Glancy,F,
Ko Un,,
Warren Woessner,,
Tim Wells,M,
Kelle Groom,F,
Kalli Dakos,,
John Unterecker,M,
Carol Muske-Dukes,F,
Jalal al-Din Rumi,,
Karla Huston,F,
Jessica Greenbaum,F,
Colette Labouff Atkinson,,
Kathleen Jamie,F,
Primo Levi,,
Paul Tran,M,
Donald Justice,M,
Rita Dove,F,
Robert Fitterman,M,
LaWanda Walters,,
giovanni singleton,M,
Molly McQuade,F,
W. S. Merwin,,
A. E. Stallings,,
Bill Manhire,M,
John De Stefano,M,
Ray Amorosi,M,
Alex Phillips,M,
Joseph Seamon Cotter Sr.,M,
Philip Gallo,M,
Paul Verlaine,M,
Stephen Dunn,M,
Orlando Ricardo Menes,M,
Lily Cao,F,
Hoa Nguyen,,
Marcus B. Christian,M,
Tishani Doshi,,
Robin Behn,,
Ange Mlinko,F,
Angela Shaw,F,
Julian Randall,F,
Peter Dale Scott,M,
Laura Kasischke,F,
John Lyly,M,
John Gay,M,
Eleni Sikelianos,F,
P. Inman,,
Peter Sacks,M,
Dana Gioia,F,
Joyelle McSweeney,F,
francine j. harris,F,
Karen J. Weyant,F,
Chris Wallace-Crabbe,,
Zbigniew Herbert,,
Myung Mi Kim,,
Eliza Lee Follen,F,
Dilruba Ahmed,,
Robert Fernandez,M,
Ho Xuan Huong,,
Michelle Bennett,F,
John Kinsella,M,
Peggy Shumaker,F,
Carla Panciera,F,
Terri Kirby Erickson,,
Kayleb Rae Candrilli,,
Lady Grizel Baillie,F,
Yang Lian,,
Kathryn Nuernberger,F,
Arthur Graeme West,M,
Erik Kennedy,M,
Dobby Gibson,,
Virginia Hamilton Adair,F,
Lady Catherine Dyer,F,
Michael Waters,M,
Joshua Edwards,M,
Angel Nafis,,
Liz Ahl,F,
Cynthia Cruz,F,
Forrest Gander,,
Peter Pereira,M,
Sasha Steensen,,
John Dryden,M,
Geoffrey Brock,M,
Rita Ann Higgins,F,
JonArno Lawson,,
Molly Peacock,F,
Richard Brautigan,M,
Melanie Almeder,F,
Henry David Thoreau,M,
George Szirtes,M,
Helen T. Glenn,F,
Lorenzo Thomas,M,
Jennifer Rahim,F,
Margaret Fishback,F,
Sean O’Brien,M,
Eileen Spinelli,F,
Algernon Charles Swinburne,,
James Wright,M,
Amy Uyematsu,F,
Jericho Brown,,
Patricia Jabbeh Wesley,F,
Pedro Pietri,M,
Mary Elizabeth Coleridge,F,
Matthew Olzmann,M,
John Tipton,M,
Roy G. Guzmán,,
Eve Merriam,F,
William Dunbar,M,
Kaelum Poulson,,
Patricia Goedicke,F,
Robert Wrigley,M,
Janet Loxley Lewis,F,
Douglas Kearney,M,
Elise Hempel,F,
León Salvatierra,M,
Jennifer Maier,F,
Osip Mandelstam,,
Vincent Katz,M,
Robert Southwell SJ,M,
C. D. Wright,,
Rebecca Morgan Frank,F,
G. K. Chesterton,,
Ricardo Alberto Maldonado,M,
William Collins,M,
Kirill Medvedev,M,
Medbh McGuckian,,
Duchess of Newcastle Margaret Cavendish,F,
Debra Marquart,F,
Eloise Greenfield,F,
Joel Lipman,M,
Paula Bohince,F,
Joan Kane,M,
Jonathan Swift,M,
Charlotte Richardson,F,
G. E. Murray,,
David Allan Evans,M,
Rowena Bastin Bennett,,
Alison C. Rollins,,
Patricia Kirkpatrick,F,
Lisa Olstein,F,
Corey Mesler,,
Dan Gerber,M,
Eileen R. Tabios,F,
Mary Robinson,F,
Charles d'Orleans,M,
Fatimah Asghar,F,
Tara Bray,F,
Bev Yockelson,,
Philip White,M,
Joseph Di Prisco,M,
Cathryn Essinger,F,
Etheridge Knight,,
Michael Metivier,M,
Donal Heffernan,M,
D. Nurkse,,
Tatiana Ziglar,F,
Ben Purkert,M,
Ellery Akers,,
Darrel Alejandro Holnes,M,
Yosef Gikatilla,M,
Stanley Plumly,M,
Charles Simic,M,
Anne Boyer,F,
Rich Murphy,M,
Juhan Liiv,,
Dionisio D. Martínez,M,
Adrian Castro,M,
Bill Coyle,M,
Lieke Marsman,,
John Berryman,M,
Nathaniel Mackey,M,
Martha Baird,F,
Thomas Middleton,M,
Joy Harjo,F,
Vachel Lindsay,,
Matthew Nienow,M,
Gregory Djanikian,M,
Kim Lozano,,
Melian Radu,,
Indran Amirthanayagam,,
Mei-mei Berssenbrugge,,
R. P. Blackmur,,
Bob Kaufman,M,
Cassie Lewis,F,
Luis J. Rodríguez,M,
John Surowiecki,M,
Mark Sanders,M,
Basil Bunting,,
Alex Dimitrov,M,
Vicki Hearne,,
David Barber,M,
Seán Hewitt,M,
Eduardo Chirinos,M,
Felicia Dorothea Hemans,F,
Emanuel Xavier,M,
Mary Sidney Herbert Countess of Pembroke,F,
Kathy Fagan,F,
Reginald Shepherd,,
Nate Pritts,,
Roddy Lumsden,M,
Edmund Waller,M,
Charles Olson,M,
Hannah Sanghee Park,F,
Lawson Fusao Inada,,
Biddy Jenkinson,,
Douglas Manuel,M,
David Shook,M,
Henry Timrod,M,
Chrystos,,
George Oppen,M,
Bruce Lansky,M,
Russell Libby,M,
William Lisle Bowles,M,
Cathy Smith Bowers,F,
James Merrill,M,
Joseph Gordon Macleod,M,
R. Parthasarathy,,
Vinda Karandikar,,
William Faulkner,M,
Thomas Centolella,M,
Heather Christle,F,
Tania Rochelle,F,
David Biespiel,M,
David Wagoner,M,
Leslie Scalapino,F,
Kevin Cantwell,M,
Bob Hicok,M,
Essa Ranapiri,,
Will Alexander,M,
Ann Struthers,F,
Helen Maria Williams,F,
Jennifer Tamayo,F,
David Tomas Martinez,M,
Elizabeth Alexander,F,
Tom Disch,M,
Wanda Coleman,F,
dg nanouk okpik,,
Brian Kim Stefans,M,
Allen Ginsberg,,
Oni Buchanan,,
Gerald Stern,M,
Jaap Blonk,,
Julie Sheehan,,
Christopher Spaide,M,
Robert Herrick,M,
Jack Agüeros,M,
Simon J. Ortiz,M,
Rickey Laurentiis,,
Rebecca Seiferle,F,
Philip Fried,M,
Benjamin Goldberg,M,
Giovanni Pascoli,M,
Attilio Bertolucci,,
Trevor West Knapp,M,
Edgar Lee Masters,M,
Oscar Wilde,M,
bell hooks,,
Michael McKimm,M,
Margaret Noodin,F,
Richard Aldington,M,
Daniel Borzutzky,M,
Sappho,,
Solomon,,
Alejandra Pizarnik,F,
Jamaal May,M,
Tess Taylor,,
Linda Bierds,F,
T. Zachary Cotler,,
Gabrielle Calvocoressi,,
Paisley Rekdal,,
Gergely Normal,,
Matthew Dickman,M,
Fitz-Greene Halleck,M,
Nico Vassilakis,M,
Lyn Lifshin,,
Kenneth Rexroth,M,
John L. Stanizzi,M,
Rosemary Tonks,F,
Josh Wild,M,
Anna Lætitia Barbauld,F,
David Kirby,M,
Caroline Gilman,F,
Alfred Islay Walden,M,
Robert Hayden,M,
Anthony Madrid,M,
Samuel Green,M,
James Schuyler,M,
Lisa Wells,F,
John Barr,M,
April Bernard,F,
Julia Fiedorczuk,F,
George Quasha,M,
Elaine Equi,F,
Brian Blanchfield,M,
Donald Britton,M,
Mario Meléndez,M,
Thomas Lodge,M,
Gregory Maguire,M,
Carlo Betocchi,M,
jörg piringer,,
Diane Seuss,F,
Norman Dubie,M,
John Engels,M,
Shawn Pittard,,
Claude McKay,,
James McMichael,M,
Stephen Swinburne,M,
Marilyn Singer,F,
Asia Calcagno,,
Siegfried Sassoon,,
Melanie Braverman,F,
Elizabeth Lincoln Otis,F,
Juliet Kono,F,
Ted Greenwald,M,
Thomas Carlyle,M,
Richard Wilbur,M,
Karl Kirchwey,M,
Michael Hofmann,M,
Patrick Hicks,M,
LaTasha N. Nevada Diggs,,
Mo H. Saidi,,
Cesare Pavese,,
Marina Tsvetaeva,F,
Fran Haraway,,
Haji Khavari,,
Averill Curdy,,
Margaret Fuller,F,
Constance Levy,,
Thomas Love Peacock,M,
Gertrude Stein,F,
Yoel Hoffmann,,
Ruth Stone,F,
Kenneth Patchen,M,
Erika L. Sánchez,F,
Heid E. Erdrich,,
Gretchen Marquette,F,
James Laughlin,M,
Shirley Buettner,F,
Lavinia Greenlaw,F,
Alison Stine,F,
Vijay Seshadri,,
Derek Walcott,M,
Deborah Landau,F,
Aria Aber,F,
Gordon Henry Jr.,M,
Ellen Bryant Voigt,F,
Robert Pinsky,M,
Sachiko Murakami,,
Bridget Lowe,F,
Miller Oberman,,
Cally Conan-Davies,,
Phil Bolsta,M,
Robert B. Shaw,M,
Jack Prelutsky,M,
Lord Byron (George Gordon),M,
Nikki Giovanni,,
David Trinidad,M,
Angelos Sikelianos,,
Edwin Gladding Burrows,M,
Arthur Hugh Clough,M,
Kiki Petrosino,,
Lisa Gorton,F,
Carter Revard,,
Theodore Deppe,M,
Stephanie Burt,F,
Mary Wollstonecraft Shelley,F,
Tomas Venclova,M,
Sarah Gridley,F,
Anne Marie Macari,F,
Gerard Manley Hopkins,M,
Charles Hamilton Sorley,M,
David Lee,M,
Vahni Capildeo,,
Rachel Loden,F,
Marci Ridlon,,
Lynn Emanuel,,
Anne Killigrew,F,
Samiya Bashir,,
Katrina Roberts,F,
Rajiv Mohabir,,
Tami Haaland,,
Thomas Lux,M,
Austin Smith,,
Milo De Angelis,,
Clement Clarke Moore,,
Frank Marshall Davis,M,
Scott Cairns,M,
Clarence Major,,
Eric Ekstrand,M,
Allan Johnston,M,
Anacreon,,
Gary Whited,M,
William Barnes,M,
John Brehm,M,
Sina Queyras,,
Arthur Vogelsang,M,
Howard Nemerov,M,
Regie Cabico,,
avery r. young,,
Andrew Allport,M,
Stephen Sandy,M,
Marjorie Saiser,F,
Sue Ellen Thompson,F,
J. T. Ledbetter,,
Robert Bridges,M,
Faith Shearin,,
Ouyang Jianghe,,
Emelihter Kihleng,,
Berwyn Moore,,
Camille Guthrie,F,
Marilyn Chin,F,
Jenny Bornholdt,,
Juliana Gray,F,
Galway Kinnell,,
Adah Isaacs Menken,,
Nomi Stone,,
Crisosto Apache,,
Suji Kwock Kim,,
Michael Brennan,M,
Art Nahill,,
Caroline Bird,F,
Grigori Dashevsky,,
Wong May,,
Ina Rousseau,,
Karen An-hwei Lee,,
Hershman John,,
Robert Hedin,M,
Kyle Harvey,,
Micah Ballard,,
Thomas Traherne,M,
Brenda Cárdenas,F,
Norma Cole,F,
Rae Armantrout,,
Victoria Chang,F,
Dan Beachy-Quick,,
Wendell Berry,,
Ru Freeman,,
Don Mee Choi,,
Ashleigh Young,,
Cynthia Arrieu-King,F,
Gillian Conoley,,
Stuart Kestenbaum,M,
Austin Segrest,,
Peter Campion,M,
Phillip Carroll Morgan,M,
Henry Vaughan,M,
Campbell McGrath,,
Ilya Kutik,,
Richard Lehnert,M,
Edmund Spenser,M,
Daniel Nadler,M,
Katherine Mansfield,F,
Liu Xia,,
Lola Haskins,F,
Christopher Soto,M,
John Beer,M,
Lucas Howell,M,
Chloe Honum,F,
Francesca Abbate,F,
Marianne Moore,F,
Will Allen Dromgoole,M,
Wisława Szymborska,,
Anna Moschovakis,F,
Truong Tran,,
Jill Bialosky,,
James Tate,M,
Rosanna Warren,F,
Elizabeth Barrett Browning,F,
Thomas Chatterton,M,
Nora Naranjo-Morse,F,
L. E. Sissman,,
Adrian C. Louis,,
Fiona Hile,F,
Sylvia Legris,F,
Divya Victor,F,
Cornelius Eady,,
Pauletta Hansel,,
Gail Wronsky,M,
Miguel Hernández,M,
Chris Tse,,
John Wieners,M,
Nam Le,,
Lydia Davis,F,
Lesley Harrison,,
David Mura,M,
Seán Ó Ríordáin,M,
Marilyn Kallet,F,
Jonathan David,M,
Ish Klein,,
Gina Franco,F,
Arseny Tarkovsky,,
Frank Ormsby,M,
Jacques Roubaud,,
Orlando White,M,
Jane Taylor,F,
Donovan Kūhiō Colleps,,
Malcolm Cowley,M,
Kien Lam,,
Jennifer Michael Hecht,F,
Amiri Baraka,,
Claude Esteban,,
Rachel Hadas,F,
Imru'al-qays,,
Russell Edson,M,
Aja Couchois Duncan,,
Jay Leeming,M,
Patricia Frolander,F,
Elizabeth Willis,F,
Emily Brontë,F,
Sara Peters,F,
Rowan Ricardo Phillips,M,
Thomas Sayers Ellis,M,
Laetitia Pilkington,F,
Nicholas Friedman,M,
Craig Morgan Teicher,M,
Christina Davis,F,
Sawnie Morris,,
Peter Balakian,M,
Amy Clampitt,F,
Albert Garcia,M,
John Logan,M,
Miriam Bird Greenberg,F,
Elizabeth Skurnick,F,
Ruth Wiggins,F,
Valzhyna Mort,,
Joyce Sidman,F,
May Sarton,F,
Trevino L. Brings Plenty,,
Shel Silverstein,,
Michael Earl Craig,M,
Christopher Smart,M,
Dawn Lundy Martin,,
Devin Johnston,,
Rainer Maria Rilke,M,
Lorine Niedecker,,
Kofi Awoonor,,
Prageeta Sharma,,
Catie Rosemurgy,,
Evie Shockley,,
Paul Violi,M,
Kinga Tóth,,
Meena Alexander,,
Michael Hartnett,M,
Sheryl Luna,F,
Penny Harter,F,
Kate Farrell,F,
Tui Scanlan,,
Kathleen Ossip,F,
Dinah Maria Craik,F,
Robert Frost,M,
Thomas Campion,M,
Charles North,M,
Michael Field,M,
George Crabbe,M,
Lilian Moore,F,
Robert Glück,M,
Ned Balbo,,
Warsan Shire,,
Lehua M. Taitano,,
Edwin Arlington Robinson,M,
Kim Parko,,
Natasha Sajé,F,
Matt Hart,M,
Aimee Nezhukumatathil,F,
John Maloney,M,
James McKean,M,
Lee McCarthy,,
Mark Ford,M,
Ana Božičević,F,
Franz Wright,M,
David Caplan,M,
Daljit Nagra,,
Helen Dudley,F,
Emilia Phillips,F,
Deena Metzger,,
Rachael Allen,F,
Steven Orlen,M,
Marin Sorescu,,
Samuel Menashe,M,
Christine Lynn Mahoney,F,
Hinemoana Baker,,
Christopher Robley,M,
Dan Lechay,,
Virgil,,
Michelle Tea,F,
Grace Bauer,F,
Kevin A. González,M,
Anne Kennedy,F,
Ben Fama,M,
Faith Wilson,,
Stéphane Mallarmé,F,
Hailey Leithauser,F,
Afaa Michael Weaver,,
Debora Greger,F,
Jackson Mac Low,M,
Marjorie Agosín,F,
Oli Hazzard,,
Jesús Papoleto Meléndez,M,
Elfriede Jelinek,,
Greg Glazner,M,
Agha Shahid Ali,,
Mother Goose,,
Charles Juliet,M,
Marjorie Pickthall,F,
Roald Dahl,,
Minnie Bruce Pratt,,
Lois Beebe Hayna,,
Anne Waldman,F,
Dunya Mikhail,,
David L. Harrison,M,
Robert King,M,
Stuart Mills,M,
Caleb Klaces,,
Steve Gehrke,M,
Jenny Xie,M,
Bruce Mackinnon,M,
Ernest Dowson,M,
Wang Ping,,
Rebecca Gayle Howell,F,
Anna Marie Sewell,F,
Ali Power,,
Eugene Gloria,F,
Matt Mason,M,
Mary Barnard,F,
Bianca Stone,F,
Catherine Field,F,
Jack Underwood,M,
Natalie Shapero,F,
Melissa Stein,F,
Tyrone Williams,,
Leslie Bulion,,
Noah Baldino,M,
Jim Daniels,M,
Jenny Factor,F,
John McCrae,M,
Myra Sklarew,,
John Clare,M,
Susan Hampton,F,
Ruben Quesada,M,
Doireann Ní Ghríofa,,
Robyn Schiff,,
Ricardo Pau-Llosa,M,
Lal Ded,,
Sir John Suckling,,
Chen Chen,,
Judy Loest,F,
Essex Hemphill,,
Todd Boss,M,
David Orr,M,
Tom Healy,M,
Colin Cheney,,
Pimone Triplett,,
Nick Norwood,,
Katerina Rudcenkova,F,
Amrita Pritam,,
Jan Owen,,
Tess Gallagher,,
Dan Chiasson,,
Michael Rutherglen,,
Tom Raworth,,
Karl Shapiro,,
Dick Allen,,
James Edwin Campbell,,
Merrill Moore,,
Walter Savage Landor,M,
Susan Elizabeth Howe,F,
Léopold Sédar Senghor,M,
Yusef Komunyakaa,M,
Hester Knibbe,,
Katharine Tynan,F,
William H. Dickey,M,
Dahlia Ravikovitch,F,
Wayne Koestenbaum,,
Richard Tagett,M,
Urayoán Noel,,
Fay Zwicky,,
D. A. Powell,,
Stephanie Young,F,
Amir Khadar,M,
Martha Serpas,F,
Margaret Walker,F,
Samuel Amadon,M,
Tim Bowling,M,
Hittan of Tayyi,,
Eloise Klein Healy,F,
Chris Abani,,
J. Lorraine Brown,,
Pierre Corneille,M,
Jasmine Elizabeth Smith,F,
Georgiana Cohen,F,
Sueyeun Juliette Lee,,
Todd Hearon,M,
Bruce Bond,M,
Don Paterson,M,
Ludvig Holstein,M,
Kathleen Rooney,F,
Yi Sang,,
Christopher Middleton,M,
Mark Twain,M,
Ellen Bass,F,
Isabel Galleymore,F,
Omar Khayaam,M,
Roy White,,
Robert Tremmel,M,
Jane Huffman,F,
Charlotte L. Forten Grimké,F,
Samuel Hazo,M,
Ephelia,F,
torrin a. greathouse,,
Juliana Spahr,F,
Raymond Antrobus,M,
Steven Herrick,M,
Helen Hoyt,F,
Christian Wiman,M,
Clodagh Beresford Dunne,,
Wendy Videlock,F,
Sadiqa de Meijer,,
Elizabeth Klise von Zerneck,F,
Mir Mahfuz Ali,,
Valerio Magrelli,M,
Mary Hickman,F,
Yitzhak Luria,,
Anne Marie Rooney,F,
Lorna Dee Cervantes,,
Susan Wheeler,F,
Jennifer Firestone,F,
Cody Smith,,
Janice Gould,F,
George Elliott Clarke,M,
Edwin Markham,M,
Rebekah Gumpert Hyneman,,
James Clerk Maxwell,M,
Ruth L. Schwartz,F,
Claudia La Rocco,F,
W. S. Graham,,
Angela Narciso Torres,F,
Larry Levis,M,
Leslie Monsour,F,
Kaveh Akbar,,
Peter Gizzi,M,
Paula Tatarunis,F,
Bonny Cassidy,,
Monica Ferrell,F,
Robert W. Service,M,
Michael Lally,M,
Pattiann Rogers,,
Roy Scheele,M,
Rodrigo Toscano,M,
Bertolt Brecht,,
Liz Waldner,,
Knight of the White Elephant of Burmah William McGonagall,M,
Hannah Brooks-Motl,F,
Raymond Luczak,M,
William Meredith,M,
Maxine Kumin,,
Marty Walsh,,
Joan Houlihan,,
Matthew Green,M,
Andrew Zawacki,M,
Mary Borden,F,
Mark Bibbins,M,
Joyce Carol Oates,F,
Barbara Howes,F,
Shane McCrae,,
Joseph Millar,M,
John Fletcher,M,
joanne burns,F,
J. J. Bell,,
Diana Khoi Nguyen,F,
Karen Volkman,F,
Dale Going,M,
Dylan Thomas,M,
Johannes Göransson,M,
Takashi Hiraide,M,
Charlotte Smith,F,
Wilmer Mills,,
Jacqueline Jones LaMon,F,
Ian Duhig,,
Mary Biddinger,F,
Jeffrey McDaniel,M,
Lance Larsen,M,
Martin Carter,M,
William Ernest Henley,M,
Cal Doyle,,
William Vaughn Moody,M,
Thomas Reiter,M,
elena minor,F,
Michael Collier,M,
T. S. Eliot,,
Charles Hanson Towne,M,
Kenn Nesbitt,,
Miriam Gamble,F,
Judith Askew,F,
Weldon Kees,,
Veronica Forrest-Thomson,F,
Miller Williams,,
Joanie Mackowski,,
derek beaulieu,M,
Bill Sweeney,M,
Jenny George,F,
Kit Robinson,,
Stephen Edgar,M,
John Keats,M,
Carol Ann Duffy,F,
Patrizia Cavalli,F,
Jan Mordenski,M,
Adelaide Crapsey,F,
John Repp,M,
Robert Lowell,M,
Vidyan Ravinthiran,,
Ocean Vuong,,
Greg Miller,M,
Louis Untermeyer,M,
Vanessa Place,F,
Frannie Lindsay,,
William Logan,M,
Jennifer Grotz,F,
Erez Bitton,,
Irving Feldman,M,
Lynn Crosbie,,
Shirley Geok-Lin Lim,F,
Donna Masini,F,
Sara Nicholson,F,
Jo'lene Dailey,,
Henry Taylor,M,
D. H. Lawrence,,
Kenneth Koch,M,
Vandana Khanna,,
Alice Lyons,F,
Antonella Anedda,F,
Kathy Nilsson,F,
Lynn Melnick,M,
Calvin Forbes,,
Coleman Barks,,
Joseph Hutchison,M,
Robert Fanning,M,
Yone Noguchi,,
Peter Munro,M,
Eric Chock,M,
Cecilia Vicuña,F,
Quraysh Ali Lansana,,
Frances Anne Kemble,F,
Alice Moore Dunbar-Nelson,F,
Susan B. Anthony Somers-Willett,F,
Anita Endrezze,F,
Lianne Spidel,F,
Chana Bloch,,
Martin Monahan,M,
William Jolliff,M,
Brian Lucas,M,
Rabindranath Tagore,,
Orlando Gibbons,M,
James Ephraim McGirt,M,
Yves Bonnefoy,,
Ivan Hobson,M,
George Moses Horton,M,
Kirby Knowlton,M,
Thomas McCarthy,M,
Libby Burton,,
Anne Hunter,F,
Robert Polito,M,
Dorothy Wordsworth,F,
Geraldine Connolly,,
Jill McDonough,,
Ed Skoog,,
Edward Hirsch,M,
Izumi Shikibu,,
Kerri Webster,,
Deirdre O'Connor,,
Etel Adnan,,
Patricia Smith,F,
Peter Boyle,M,
Justice Ameer,,
Robert Alter,M,
Bill Knott,M,
Maurice Manning,,
Jorie Graham,,
Susan Stewart,F,
Fred Wah,M,
Karen Jo Shapiro,F,
C. K. Stead,,
William Makepeace Thackeray,M,
Melissa Range,F,
Melvin Dixon,,
August Kleinzahler,,
Rupert Brooke,M,
Julia Shipley,F,
Floyd Skloot,,
Keith Waldrop,,
Jody Gladding,,
Sandra Beasley,F,
John Matthias,M,
Donald Platt,M,
Gary Snyder,M,
William Wordsworth,M,
Rusty Morrison,,
Timothy Liu,M,
Solmaz Sharif,,
Michael Palmer,M,
Ailish Hopper,,
Ernest M. Hemingway,M,
Charles Tomlinson,M,
Kate Colby,F,
Robin Gow,M,
Helen Mort,F,
Nathaniel Tarn,M,
Peter Schneider,M,
Susan Hutton,F,
Liz Berry,F,
George Wither,M,
Deborah Warren,F,
Megan Arlett,F,
Brandon Brown,M,
Larry Neal,M,
Cyrus Cassells,,
Joan Retallack,,
Alicia Ostriker,F,
Adam Fitzgerald,M,
Atsuro Riley,,
Dorothy Parker,F,
Dana Roeser,F,
Jeanne Murray Walker,F,
Pam Rehm,F,
Terrance Hayes,M,
Susanna Moodie,F,
Cortney Lamar Charleston,F,
Lionel G. Fogarty,M,
Frank Stanford,M,
Simon Barraclough,M,
Roberto Harrison,M,
Conrad Aiken,M,
Mark O'Brien,M,
Frank Osen,M,
Monica McClure,F,
Heather Allen,F,
Sinéad Morrissey,,
Jorge Sánchez,M,
Dan Vera,M,
Sam Willetts,M,
John Milton,M,
Steve Kistulentz,M,
Stacy Szymaszek,F,
Philip Gross,M,
Oliver Wendell Holmes Sr.,M,
Joan Mitchell,,
Laurence Hope,,
Ronaldo V. Wilson,M,
Carolyn Forché,F,
Jack Spicer,M,
David Ignatow,M,
Letitia Elizabeth Landon,F,
Dennis O'Driscoll,M,
Barbara Crooker,F,
John Hazard,M,
Shari Wagner,,
Caroline Bergvall,F,
John Davies,M,
John Skelton,M,
Dana Levin,F,
Robin Coste Lewis,,
G. Maria Hindmarch,,
Reginald Gibbons,,
erica lewis,F,
Mark Rudman,M,
Katia Kapovich,F,
Octavio Paz,M,
Dave Crawley,M,
Philip Schultz,M,
Jared Harél,M,
Theodore Roethke,M,
Courtney Sina Meredith,F,
Kyle Dargan,M,
Catherine Tufariello,F,
Diane Thiel,F,
